[ 2024-01-20 22:53:44,241 ] 89 root - INFO - Reading the pdf file...
[ 2024-01-20 22:53:45,087 ] 95 root - INFO - File read successfully...
[ 2024-01-20 22:53:45,087 ] 60 root - INFO - Initializing text splitter ...
[ 2024-01-20 22:53:45,087 ] 65 root - INFO - Text Splitter initiaized ...
[ 2024-01-20 22:53:45,087 ] 76 root - INFO - Split Successfull...
[ 2024-01-20 22:53:45,087 ] 107 root - INFO - Initializing Chain ...
[ 2024-01-20 22:53:45,087 ] 114 root - INFO - Chain initialized successfully ...
[ 2024-01-20 22:53:45,087 ] 121 root - INFO - Invoking the chain for processing ...
[ 2024-01-20 22:56:03,337 ] 89 root - INFO - Reading the pdf file...
[ 2024-01-20 22:56:04,187 ] 95 root - INFO - File read successfully...
[ 2024-01-20 22:56:04,200 ] 60 root - INFO - Initializing text splitter ...
[ 2024-01-20 22:56:04,200 ] 65 root - INFO - Text Splitter initiaized ...
[ 2024-01-20 22:56:04,200 ] 76 root - INFO - Split Successfull...
[ 2024-01-20 22:56:04,200 ] 107 root - INFO - Initializing Chain ...
[ 2024-01-20 22:56:04,204 ] 114 root - INFO - Chain initialized successfully ...
[ 2024-01-20 22:56:04,204 ] 121 root - INFO - Invoking the chain for processing ...
[ 2024-01-20 22:56:12,820 ] 89 root - INFO - Reading the pdf file...
[ 2024-01-20 22:56:14,860 ] 95 root - INFO - File read successfully...
[ 2024-01-20 22:56:14,860 ] 60 root - INFO - Initializing text splitter ...
[ 2024-01-20 22:56:14,860 ] 65 root - INFO - Text Splitter initiaized ...
[ 2024-01-20 22:56:14,860 ] 76 root - INFO - Split Successfull...
[ 2024-01-20 22:56:14,860 ] 107 root - INFO - Initializing Chain ...
[ 2024-01-20 22:56:14,860 ] 114 root - INFO - Chain initialized successfully ...
[ 2024-01-20 22:56:14,860 ] 121 root - INFO - Invoking the chain for processing ...
[ 2024-01-20 22:57:27,561 ] 89 root - INFO - Reading the pdf file...
[ 2024-01-20 22:57:29,565 ] 95 root - INFO - File read successfully...
[ 2024-01-20 22:57:29,565 ] 60 root - INFO - Initializing text splitter ...
[ 2024-01-20 22:57:29,565 ] 65 root - INFO - Text Splitter initiaized ...
[ 2024-01-20 22:57:29,567 ] 76 root - INFO - Split Successfull...
[ 2024-01-20 22:57:29,570 ] 107 root - INFO - Initializing Chain ...
[ 2024-01-20 22:57:29,570 ] 114 root - INFO - Chain initialized successfully ...
[ 2024-01-20 22:57:29,571 ] 121 root - INFO - Invoking the chain for processing ...
